doctor_id,profile_id,name,specialty,type,room,active
DOC_1,PROF_1000,Dr. Doctor_1,Orthopedics,OPD,Room-2,True
DOC_2,PROF_1001,Dr. Doctor_2,General OPD,OPD,Room-9,True
DOC_3,PROF_1002,Dr. Doctor_3,Orthopedics,OPD,Room-38,False
DOC_4,PROF_1003,Dr. Doctor_4,Cardiology,OPD,Room-6,True
DOC_5,PROF_1004,Dr. Doctor_5,General OPD,OPD,Room-36,True
DOC_6,PROF_1005,Dr. Doctor_6,Orthopedics,Clinic,Room-15,False
DOC_7,PROF_1006,Dr. Doctor_7,Neurology,Clinic,Room-1,True
DOC_8,PROF_1007,Dr. Doctor_8,Orthopedics,Clinic,Room-22,True
DOC_9,PROF_1008,Dr. Doctor_9,General OPD,OPD,Room-49,True
DOC_10,PROF_1009,Dr. Doctor_10,Cardiology,OPD,Room-25,True
DOC_11,PROF_1010,Dr. Doctor_11,Pediatrics,Clinic,Room-39,True
DOC_12,PROF_1011,Dr. Doctor_12,Cardiology,Clinic,Room-35,True
DOC_13,PROF_1012,Dr. Doctor_13,Medical Clinic,OPD,Room-36,True
DOC_14,PROF_1013,Dr. Doctor_14,Orthopedics,Clinic,Room-37,True
DOC_15,PROF_1014,Dr. Doctor_15,Orthopedics,OPD,Room-3,True
DOC_16,PROF_1015,Dr. Doctor_16,Pediatrics,OPD,Room-15,True
DOC_17,PROF_1016,Dr. Doctor_17,Medical Clinic,Clinic,Room-30,True
DOC_18,PROF_1017,Dr. Doctor_18,General OPD,Clinic,Room-23,True
DOC_19,PROF_1018,Dr. Doctor_19,Orthopedics,Clinic,Room-45,True
DOC_20,PROF_1019,Dr. Doctor_20,Neurology,OPD,Room-35,True
DOC_21,PROF_1020,Dr. Doctor_21,General OPD,Clinic,Room-25,True
DOC_22,PROF_1021,Dr. Doctor_22,Orthopedics,OPD,Room-44,True
DOC_23,PROF_1022,Dr. Doctor_23,Cardiology,OPD,Room-3,True
DOC_24,PROF_1023,Dr. Doctor_24,Medical Clinic,Clinic,Room-5,True
DOC_25,PROF_1024,Dr. Doctor_25,Neurology,Clinic,Room-14,False
DOC_26,PROF_1025,Dr. Doctor_26,Medical Clinic,Clinic,Room-10,True
DOC_27,PROF_1026,Dr. Doctor_27,General OPD,OPD,Room-48,True
DOC_28,PROF_1027,Dr. Doctor_28,Orthopedics,Clinic,Room-38,False
DOC_29,PROF_1028,Dr. Doctor_29,Pediatrics,OPD,Room-9,False
DOC_30,PROF_1029,Dr. Doctor_30,Cardiology,OPD,Room-8,True
