exception_id,doctor_id,date,type,reason
e7cfb3ef-56c1-4014-8d2f-3a7be81ad156,DOC_1027,2025-09-30,CANCELLED_SESSION,Conference
e7535e69-3b2c-4ec4-9d41-1b983e35ee70,DOC_3322,2025-08-06,LEAVE,Medical Leave
efba9713-ae0f-44f3-9e8b-11a6c4f91f2f,DOC_3488,2025-06-29,CANCELLED_SESSION,Medical Leave
0033371e-f43e-4154-be61-0ede655479d5,DOC_7309,2025-08-25,LEAVE,Conference
63cf310a-8931-4d52-aa59-b25c0c2a3155,DOC_6308,2025-12-02,LEAVE,Conference
5a6fa3f9-a839-4743-b74c-cf8d1fc9bc81,DOC_2917,2025-05-26,CANCELLED_SESSION,Personal Leave
1b3791ce-a9ae-4bad-a29c-dd437f376c92,DOC_8813,2025-03-18,CANCELLED_SESSION,Medical Leave
cf780c00-b51d-4642-8c75-529e532b52ca,DOC_6599,2025-01-01,CANCELLED_SESSION,Medical Leave
b8672639-556d-4f37-90c5-cf841cc02e43,DOC_3580,2025-06-22,LEAVE,Medical Leave
0a3f3daf-3e0e-4ab8-84ac-a66330564798,DOC_5827,2025-12-15,CANCELLED_SESSION,Conference
509cf65b-ccab-4809-9435-08139313ff88,DOC_2152,2025-10-12,CANCELLED_SESSION,Conference
b4d05670-972f-40f3-864b-a0d6da4cd080,DOC_9671,2025-08-19,LEAVE,Medical Leave
d92be959-5d95-4ce7-b2ea-10fdc925159c,DOC_3052,2025-06-20,CANCELLED_SESSION,Personal Leave
b6bd4cfd-792d-4d91-88e3-754c80dd75b4,DOC_659,2025-06-17,CANCELLED_SESSION,Personal Leave
ca75a9a9-0826-47ea-82f7-49228272e846,DOC_673,2025-03-24,CANCELLED_SESSION,Personal Leave
cbb6317a-d22c-421c-99fc-3b0ccd99dee7,DOC_4041,2025-04-15,CANCELLED_SESSION,Conference
e493aa9b-693d-4816-af82-7ad8367a9f4a,DOC_7468,2025-07-18,LEAVE,Conference
